month,SDII
1989-12,0.014820406513829385
1990-01,0.8661554398075226
1990-02,0.9959001541137695
1990-03,1.9821736735682334
1990-04,2.431537373860677
1990-05,1.1365799442414315
1990-06,3.2122095743815104
1990-07,1.6189161731350807
1990-08,1.5493436013498614
1990-09,3.179182688395182
1990-10,3.7197738155241935
1990-11,2.5547818501790363
1990-12,2.590630808184224
1991-01,1.4446067810058594
1991-02,1.3382350376674108
1991-03,1.7572160536243069
1991-04,2.425728352864583
1991-05,5.0311855193107355
1991-06,2.135759735107422
1991-07,3.7232444517074095
1991-08,1.888609609296245
1991-09,1.9175765991210938
1991-10,2.8662508072391635
1991-11,4.298287455240885
1991-12,0.8445824038597846
1992-01,0.7104527873377646
1992-02,1.246064021669585
1992-03,2.8939610142861643
1992-04,1.5309234619140626
1992-05,1.1031011766003025
1992-06,2.4012880961100262
1992-07,1.7038313342678932
1992-08,0.7196086760490171
1992-09,1.3136011759440105
1992-10,6.831121629284274
1992-11,2.4213773091634114
1992-12,2.4881668090820312
1993-01,0.5688494405438823
1993-02,0.47687762124197824
1993-03,1.6944214605516004
1993-04,2.4281438191731772
1993-05,1.4127108666204637
1993-06,3.0038002014160154
1993-07,1.4675838101294734
1993-08,2.4310716198336695
1993-09,3.003764343261719
1993-10,2.7177082184822328
1993-11,4.861140441894531
1993-12,3.8428728657384075
1994-01,1.534300527264995
1994-02,1.7240687779017858
1994-03,1.6789416651571951
1994-04,3.527501678466797
1994-05,2.2890105708952873
1994-06,4.105377197265625
1994-07,2.1566130115139868
1994-08,2.8988699143932712
1994-09,1.6359052022298177
1994-10,2.055921862202306
1994-11,1.4916639963785807
1994-12,2.4547997751543598
1995-01,2.2746094734438005
1995-02,2.461301531110491
1995-03,2.777495845671623
1995-04,1.505313237508138
1995-05,3.4763065461189515
1995-06,4.541583760579427
1995-07,2.341616722845262
1995-08,4.414231823336694
1995-09,3.671314239501953
1995-10,0.5860347747802734
1995-11,1.819404093424479
1995-12,4.670869888797883
1996-01,1.5704420766522806
1996-02,1.7595721277697334
1996-03,0.9269271358366935
1996-04,2.904387664794922
1996-05,3.2861788349766887
1996-06,2.5453727722167967
1996-07,1.5814708586662047
1996-08,2.6603420626732612
1996-09,6.932442220052083
1996-10,2.4156607350995465
1996-11,3.529832712809245
1996-12,2.2919158935546875
1997-01,1.874606470907888
1997-02,1.7090950012207031
1997-03,1.2361408356697328
1997-04,2.7713656107584637
1997-05,2.212586433656754
1997-06,2.4951515197753906
1997-07,3.245328841670867
1997-08,2.756312708700857
1997-09,0.9708146413167318
1997-10,2.301964052261845
1997-11,3.531724294026693
1997-12,3.490905269499748
1998-01,1.7354546823809225
1998-02,0.09047772203172956
1998-03,2.134069135112147
1998-04,2.1878679911295573
1998-05,3.1207046508789062
1998-06,2.802789306640625
1998-07,2.4935275662329888
1998-08,3.6849842686806955
1998-09,4.198266855875651
1998-10,3.45825933641003
1998-11,3.2336275736490885
1998-12,1.6250381469726562
1999-01,1.4004072373913181
1999-02,3.5049144199916293
1999-03,1.5091876368368826
1999-04,3.2043174743652343
1999-05,3.5151244132749495
1999-06,3.1406842549641927
1999-07,5.0268136301348285
1999-08,2.7071491364509828
1999-09,2.633597564697266
1999-10,1.4805908203125
1999-11,3.832366180419922
1999-12,3.0344860938287552
2000-01,0.770249766688193
2000-02,1.2762751086004849
2000-03,2.3075613206432712
2000-04,2.3694000244140625
2000-05,1.8962177153556579
2000-06,1.6340831756591796
2000-07,2.162654753654234
2000-08,1.5744178525863155
2000-09,2.462988789876302
2000-10,2.7101290302891887
2000-11,2.3447497049967447
2000-12,2.3707457511655745
2001-01,2.9245730984595513
2001-02,0.92048522404262
2001-03,3.5737447431010585
2001-04,3.3953290303548176
2001-05,2.2120804325226815
2001-06,2.9404541015625
2001-07,1.1300059903052546
2001-08,1.0012080900130733
2001-09,5.217546590169271
2001-10,0.33981953897783834
2001-11,2.4881998697916665
2001-12,1.6935448185090096
2002-01,0.5108329711421844
2002-02,2.098613602774484
2002-03,1.162967312720514
2002-04,4.793152872721354
2002-05,2.7831253543976815
2002-06,2.829339090983073
2002-07,4.431736115486391
2002-08,5.147116384198589
2002-09,4.010002136230469
2002-10,2.4837791688980593
2002-11,2.1105186462402346
2002-12,2.8605285152312248
2003-01,2.4958345966954387
2003-02,0.9688499995640346
2003-03,0.6518806334464781
2003-04,1.452044677734375
2003-05,2.1553827101184475
2003-06,2.2371014912923175
2003-07,3.0573508970199095
2003-08,2.0714266377110637
2003-09,2.1578966776529946
2003-10,2.766234367124496
2003-11,2.291894022623698
2003-12,1.3942506851688508
2004-01,2.083739742155998
2004-02,2.156672773690059
2004-03,2.697911908549647
2004-04,3.9878252665201823
2004-05,2.3061594809255292
2004-06,3.1388262430826823
2004-07,1.142546130764869
2004-08,3.7889005599483365
2004-09,2.4660769144694012
2004-10,3.7933472664125505
2004-11,2.161212666829427
2004-12,1.6887592192619079
2005-01,1.105254634734123
2005-02,2.3154125213623047
2005-03,2.176325151997228
2005-04,2.613190460205078
2005-05,2.0619939988659275
2005-06,1.7160316467285157
2005-07,4.641350530808972
2005-08,5.2970477688697075
2005-09,3.1369585673014324
2005-10,1.1389256138955393
2005-11,2.8781473795572916
2005-12,3.106419224892893
2006-01,1.5153824590867566
2006-02,1.7522147042410714
2006-03,2.666292744298135
2006-04,3.250513458251953
2006-05,3.9679969049269155
2006-06,2.622284444173177
2006-07,1.7607846413889239
2006-08,5.2154644381615425
2006-09,2.049456024169922
2006-10,1.2011931634718371
2006-11,2.2146326700846353
