valid_time,depthBelowLandLayer,latitude,longitude,number,surface,monthly_sums,days_above_1mm,days_above_10mm,days_above_20mm
1994-06-30,100.0,42.700000000001175,18.099999999999987,0,0.0,41.21255,6.0,1.0,0.0
1994-07-31,100.0,42.700000000001175,18.099999999999987,0,0.0,23.584187,6.0,0.0,0.0
1994-08-31,100.0,42.700000000001175,18.099999999999987,0,0.0,39.049805,4.0,2.0,0.0
1994-09-30,100.0,42.700000000001175,18.099999999999987,0,0.0,79.20951,6.0,3.0,1.0
1994-10-31,100.0,42.700000000001175,18.099999999999987,0,0.0,101.81271,11.0,3.0,3.0
1994-11-30,100.0,42.700000000001175,18.099999999999987,0,0.0,75.91385,6.0,3.0,2.0
1994-12-31,100.0,42.700000000001175,18.099999999999987,0,0.0,89.877365,13.0,4.0,0.0
1995-01-31,100.0,42.700000000001175,18.099999999999987,0,0.0,182.2037,19.0,8.0,3.0
1995-02-28,100.0,42.700000000001175,18.099999999999987,0,0.0,104.25735,11.0,3.0,0.0
1995-03-31,100.0,42.700000000001175,18.099999999999987,0,0.0,246.10457,16.0,9.0,4.0
1995-04-30,100.0,42.700000000001175,18.099999999999987,0,0.0,113.03984,8.0,5.0,2.0
1995-05-31,100.0,42.700000000001175,18.099999999999987,0,0.0,129.89539,14.0,4.0,2.0
1995-06-30,100.0,42.700000000001175,18.099999999999987,0,0.0,58.214966,6.0,2.0,0.0
1995-07-31,100.0,42.700000000001175,18.099999999999987,0,0.0,66.54524,6.0,1.0,1.0
1995-08-31,100.0,42.700000000001175,18.099999999999987,0,0.0,206.94415,16.0,4.0,2.0
1995-09-30,100.0,42.700000000001175,18.099999999999987,0,0.0,176.8943,12.0,4.0,3.0
1995-10-31,100.0,42.700000000001175,18.099999999999987,0,0.0,3.103733,1.0,0.0,0.0
1995-11-30,100.0,42.700000000001175,18.099999999999987,0,0.0,134.21214,13.0,5.0,2.0
1995-12-31,100.0,42.700000000001175,18.099999999999987,0,0.0,334.65494,20.0,12.0,9.0
1996-01-31,100.0,42.700000000001175,18.099999999999987,0,0.0,218.82104,13.0,7.0,4.0
1996-02-29,100.0,42.700000000001175,18.099999999999987,0,0.0,188.08513,14.0,7.0,3.0
1996-03-31,100.0,42.700000000001175,18.099999999999987,0,0.0,157.93968,14.0,5.0,1.0
1996-04-30,100.0,42.700000000001175,18.099999999999987,0,0.0,227.13055,9.0,4.0,4.0
1996-05-31,100.0,42.700000000001175,18.099999999999987,0,0.0,100.4935,13.0,4.0,1.0
1996-06-30,100.0,42.700000000001175,18.099999999999987,0,0.0,30.81995,8.0,1.0,0.0
1996-07-31,100.0,42.700000000001175,18.099999999999987,0,0.0,6.8507195,3.0,0.0,0.0
1996-08-31,100.0,42.700000000001175,18.099999999999987,0,0.0,87.3465,11.0,3.0,2.0
1996-09-30,100.0,42.700000000001175,18.099999999999987,0,0.0,250.7641,16.0,9.0,7.0
1996-10-31,100.0,42.700000000001175,18.099999999999987,0,0.0,222.70178,15.0,6.0,3.0
1996-11-30,100.0,42.700000000001175,18.099999999999987,0,0.0,406.12677,18.0,10.0,7.0
1996-12-31,100.0,42.700000000001175,18.099999999999987,0,0.0,229.93564,19.0,8.0,3.0
1997-01-31,100.0,42.700000000001175,18.099999999999987,0,0.0,116.05172,9.0,6.0,2.0
1997-02-28,100.0,42.700000000001175,18.099999999999987,0,0.0,94.469666,10.0,3.0,1.0
1997-03-31,100.0,42.700000000001175,18.099999999999987,0,0.0,62.302826,4.0,2.0,2.0
1997-04-30,100.0,42.700000000001175,18.099999999999987,0,0.0,127.11609,13.0,4.0,2.0
1997-05-31,100.0,42.700000000001175,18.099999999999987,0,0.0,68.646965,7.0,1.0,1.0
1997-06-30,100.0,42.700000000001175,18.099999999999987,0,0.0,13.207136,5.0,0.0,0.0
1997-07-31,100.0,42.700000000001175,18.099999999999987,0,0.0,35.468758,5.0,1.0,0.0
1997-08-31,100.0,42.700000000001175,18.099999999999987,0,0.0,31.660616,9.0,0.0,0.0
1997-09-30,100.0,42.700000000001175,18.099999999999987,0,0.0,22.946602,1.0,1.0,1.0
1997-10-31,100.0,42.700000000001175,18.099999999999987,0,0.0,144.52052,13.0,5.0,3.0
1997-11-30,100.0,42.700000000001175,18.099999999999987,0,0.0,200.97858,15.0,7.0,3.0
1997-12-31,100.0,42.700000000001175,18.099999999999987,0,0.0,227.0828,14.0,6.0,4.0
1998-01-31,100.0,42.700000000001175,18.099999999999987,0,0.0,91.37858,10.0,3.0,1.0
1998-02-28,100.0,42.700000000001175,18.099999999999987,0,0.0,90.349075,4.0,3.0,3.0
1998-03-31,100.0,42.700000000001175,18.099999999999987,0,0.0,15.920579,3.0,0.0,0.0
1998-04-30,100.0,42.700000000001175,18.099999999999987,0,0.0,177.19882,16.0,8.0,1.0
1998-05-31,100.0,42.700000000001175,18.099999999999987,0,0.0,118.115234,11.0,4.0,3.0
1998-06-30,100.0,42.700000000001175,18.099999999999987,0,0.0,32.729385,4.0,1.0,1.0
1998-07-31,100.0,42.700000000001175,18.099999999999987,0,0.0,18.562141,2.0,1.0,0.0
